province_code,order,number,name,hall_postcode,meets_text,installation_text,source_url
durham,craft_lodge,9079,Faithful Lodge of Durham,DH3 2PJ,Meeting Dates: 3rd Monday of month except July and August holidays.,,https://durhamfreemasons.org/lodges/lodge.php?slug=faithful-lodge-of-durham-l9079
durham,craft_lodge,9301,Johnstonian Lodge,DH1 3HN,"4th Thursday in January, April and June. Installation on 1st Monday in November",,https://durhamfreemasons.org/lodges/lodge.php?slug=johnstonian-l9301
durham,craft_lodge,9358,Old Barnardian Lodge,DL12 8NJ,"Last Saturday in April, September and October ( Installation) and the third Saturday in June.",,https://durhamfreemasons.org/lodges/lodge.php?slug=old-barnardian-l9358
durham,craft_lodge,9440,Sportsman’s Lodge,DH4 7LQ,"First Friday in the months of April (Installation), July, September and December (subject to any Bank Holidays)",,https://durhamfreemasons.org/lodges/lodge.php?slug=sportsmans-l9440
durham,craft_lodge,9441,Nevill Lodge of Installed Masters,DL3 6LS,2nd Fridays in March and June and 2nd Thursday in September (Installation). Meetings usually start at 6.30pm.,,https://durhamfreemasons.org/lodges/lodge.php?slug=nevill-lodge-of-installed-masters-l9441
durham,craft_lodge,9454,Indaba Lodge,DL3 6LS,"We meet 5 times per year on the First Saturday in March with Family and Friends, The first Wednesday in May, the first Monday in June, The first Wednesday in September and the first Saturday in November with family and friends.",,https://durhamfreemasons.org/lodges/lodge.php?slug=indaba-l9454
durham,craft_lodge,9568,Weardale Lodge of Installed Masters,DL13 4LE,,,https://durhamfreemasons.org/lodges/lodge.php?slug=weardale-lodge-of-installed-masters-l9568
durham,craft_lodge,9606,Hammurabi Lodge,DL17 8HX,"3rd Monday in February, April, August, October and December",,https://durhamfreemasons.org/lodges/lodge.php?slug=hammurabi-l9606
durham,craft_lodge,9666,Castle Eden Lodge of Installed Masters,TS27 4SD,,,https://durhamfreemasons.org/lodges/lodge.php?slug=castle-eden-lodge-of-installed-masters-l9666
durham,craft_lodge,9667,Stockton-on-Tees Lodge,TS18 1RD,"Quarterly fourth Friday morning September, December, March, May 10.30am.",,https://durhamfreemasons.org/lodges/lodge.php?slug=stockton-on-tees-l9667
durham,craft_lodge,9685,Saint Cecilia Lodge,DH1 3HN,"The fourth Wednesday of January, March, May, September and November (Installation)",,https://durhamfreemasons.org/lodges/lodge.php?slug=saint-cecilia-l9685
